源文件,服务端相对路径,大小,修改时间,SHA256,识别编码,标签数,重复标签,CALL数
D:\MirServer\Mir200\Envir\QuestDiary\玄渊实验室\项链幸运\项链幸运核心.txt,Mir200\Envir\QuestDiary\玄渊实验室\项链幸运\项链幸运核心.txt,1985,2026-07-31T14:56:46,a5cdc8e7020c2ffa74996b1692d5af16be9365134daa7b92ca2c602d014ad3eb,utf-8-sig,2,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊成长\神印与称号\神印基础核心.txt,Mir200\Envir\QuestDiary\玄渊成长\神印与称号\神印基础核心.txt,271884,2026-08-10T11:48:31,0b7169265ad47669e572026b1b41149ae7fc3688e1b8fcb580298483fa992ba0,gb18030,413,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊成长\神印与称号\称号晋升核心.txt,Mir200\Envir\QuestDiary\玄渊成长\神印与称号\称号晋升核心.txt,23174,2026-08-16T21:01:22,24efc1f6155a65cd79392560f3e9f2dfc1ce0866a8c9b4893a7246b5b52928c4,gb18030,52,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊数据\xy_donate\捐献状态.txt,Mir200\Envir\QuestDiary\玄渊数据\xy_donate\捐献状态.txt,78,2026-07-30T21:58:10,ef462e27314fa65de38279a5b9fc29421a362636093e2a118823d8c7e771d7b4,gb18030,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊数据\新手礼包\已领取.txt,Mir200\Envir\QuestDiary\玄渊数据\新手礼包\已领取.txt,16,2026-07-30T17:54:13,bb5b393f4b26942d2255de159f22db33620568b7a8854384b962c866448181da,gb18030,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊诊断\失乡者三图1分钟首刷.txt,Mir200\Envir\QuestDiary\玄渊诊断\失乡者三图1分钟首刷.txt,2824,2026-08-04T17:18:07,42fc3e0ae73b3f572dc5d623a24c3bc8b76b25ee2c4be08fc66e982d839bc69c,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊诊断\失乡者原间隔首刷复核.txt,Mir200\Envir\QuestDiary\玄渊诊断\失乡者原间隔首刷复核.txt,1150,2026-08-04T17:24:37,ed3c39a3c13162a99fc8a5a07e33ab3f4972804177e6986e16ec5bf58f03bb56,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭对照计数.txt,Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭对照计数.txt,4299,2026-08-04T16:12:25,dda808f3bbe00f6f6da019655a107d85361ce5e8193ba8c953ad3e7f7452006b,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭干净重启复核.txt,Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭干净重启复核.txt,3306,2026-08-04T16:34:43,2bf564c1747ce8653af9e2a0ce035e74f322e69b6be7af2a6b9d719a493c25b6,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭怪物计数.txt,Mir200\Envir\QuestDiary\玄渊诊断\沉没王庭怪物计数.txt,12144,2026-08-04T15:42:39,efa4a3f9c1ba5a5da16b6688d4b4d1adddf812fb8d40827ec660ec022462aaef,utf-8-sig,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊配置\复活图标配置.txt,Mir200\Envir\QuestDiary\玄渊配置\复活图标配置.txt,181,2026-07-25T18:10:03,b0330319f93c03f1bfc5d4a277ca58d9a0a4715b023b57eaa263ffabfcf684c2,gb18030,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊配置\沙城捐献配置.txt,Mir200\Envir\QuestDiary\玄渊配置\沙城捐献配置.txt,364,2026-07-30T22:13:05,2ce490814249af568ba5b46373a8ab5a5e3983d93d5dcd09d8adddb3a1580f68,gb18030,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊配置\狂暴配置.txt,Mir200\Envir\QuestDiary\玄渊配置\狂暴配置.txt,363,2026-07-30T10:55:52,38e650b3478f1e9870ad12352c2c1052f1e2cae930a94c8b3e1fe970e3d189c3,gb18030,0,,0
D:\MirServer\Mir200\Envir\QuestDiary\玄渊验收\events.txt,Mir200\Envir\QuestDiary\玄渊验收\events.txt,27047,2026-07-31T18:23:51,431c4e7051f43781890df5eab4001a226281162ccea1695049b523f9bb62471b,gb18030,0,,0
D:\MirServer\Mir200\Envir\Robot_def\AutoRunRobot.txt,Mir200\Envir\Robot_def\AutoRunRobot.txt,535,2026-08-10T15:43:11,8b97469443bce292c23affe8ed4532cb9d6ad8306c397c740413d1a07f6d0d9b,gb18030,0,,0
D:\MirServer\Mir200\Envir\Robot_def\RobotManage.txt,Mir200\Envir\Robot_def\RobotManage.txt,6579,2026-08-10T19:34:06,ba099d5d71e70289577e1ed34cb8d47d1ee6adf019299a12c298a97a9fa94538,gb18030,11,,0
D:\MirServer\Mir200\Envir\UserCmd.txt,Mir200\Envir\UserCmd.txt,143,2026-08-15T15:32:24,9155f24ffb0163aff89af27479af8de846988320d746bee154cd8eecc3281792,gb18030,0,,0
